,Address,Price,Beds,Website,Posted,Area,Minimum_Beds,Maximum_Beds,Minimum_Cost,Maximum_Cost,Average_Cost
52,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
53,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
54,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
55,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
56,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
57,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
58,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
59,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
60,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
61,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
62,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
63,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
64,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
65,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
66,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
67,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
68,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
69,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
70,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
71,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
72,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
73,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
74,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
75,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
76,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
77,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
78,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
