,Website,Posted,Area,Minimum_Beds,Maximum_Beds,Minimum_Cost,Maximum_Cost,Average_Cost
679,1,14,0,1,2,395,395,395
680,1,14,0,3,2,985,985,985
681,1,14,0,3,2,590,590,590
682,1,14,0,3,3,980,980,980
683,1,14,0,3,3,875,875,875
684,1,14,0,5,7,1595,1595,1595
685,1,14,0,5,4,1300,1300,1300
686,1,14,0,8,9,1040,1040,1040
687,1,14,0,1,4,709,709,709
688,1,14,0,5,7,935,935,935
689,1,14,0,3,3,625,625,625
690,1,14,0,5,4,1128,1128,1128
691,1,14,0,8,9,1576,1576,1576
692,1,14,0,7,8,1647,1647,1647
693,1,14,0,3,6,550,550,550
694,1,14,0,5,3,1190,1190,1190
695,1,14,0,7,8,1587,1587,1587
696,1,14,0,7,8,1482,1482,1482
697,1,14,0,7,4,1407,1407,1407
698,1,14,0,7,4,1407,1407,1407
699,1,14,0,1,4,709,709,709
700,1,14,0,5,4,1300,1300,1300
701,1,14,0,3,3,625,625,625
702,1,14,0,3,2,590,590,590
703,1,14,0,3,3,980,980,980
704,1,14,0,3,2,985,985,985
705,1,14,0,5,7,1595,1595,1595
706,1,14,0,1,2,395,395,395
707,1,14,0,1,1,735,735,735
708,1,14,0,3,3,875,875,875
709,1,14,0,3,2,1295,1295,1295
710,1,14,0,8,9,1000,1000,1000
711,1,14,0,5,7,1000,1000,1000
712,1,14,0,5,7,850,850,850
713,1,14,0,7,8,950,950,950
714,1,14,0,5,7,855,855,855
715,1,14,0,7,8,950,950,950
716,1,14,0,3,6,610,610,610
717,1,14,0,5,3,1190,1190,1190
718,1,14,0,7,8,1650,1650,1650
