,Website,Posted,Area,Minimum_Beds,Maximum_Beds,Minimum_Cost,Maximum_Cost,Average_Cost
161,2,15,0,8,9,1040,1040,1040
162,2,1,0,5,7,925,925,925
163,2,4,0,5,7,1122,1122,1122
164,2,10,0,7,8,1100,1100,1100
165,2,12,0,7,8,795,795,795
166,2,12,0,5,7,795,795,795
167,2,15,0,8,9,1040,1040,1040
168,2,1,0,5,7,925,925,925
169,2,4,0,5,7,1122,1122,1122
170,2,10,0,7,8,1100,1100,1100
171,2,12,0,7,8,795,795,795
172,2,12,0,5,7,795,795,795
173,2,15,0,8,9,1040,1040,1040
174,2,1,0,5,7,925,925,925
175,2,4,0,5,7,1122,1122,1122
176,2,10,0,7,8,1100,1100,1100
177,2,12,0,7,8,795,795,795
178,2,12,0,5,7,795,795,795
179,2,15,0,8,9,1040,1040,1040
180,2,1,0,5,7,925,925,925
181,2,4,0,5,7,1122,1122,1122
182,2,10,0,7,8,1100,1100,1100
183,2,12,0,7,8,795,795,795
184,2,12,0,5,7,795,795,795
185,2,15,0,8,9,1040,1040,1040
186,2,1,0,5,7,925,925,925
187,2,4,0,5,7,1122,1122,1122
188,2,10,0,7,8,1100,1100,1100
189,2,12,0,7,8,795,795,795
190,2,12,0,5,7,795,795,795
191,2,15,0,8,9,1040,1040,1040
192,2,1,0,5,7,925,925,925
193,2,4,0,5,7,1122,1122,1122
194,2,10,0,7,8,1100,1100,1100
195,2,12,0,7,8,795,795,795
196,2,12,0,5,7,795,795,795
197,2,15,0,8,9,1040,1040,1040
198,2,1,0,5,7,925,925,925
199,2,4,0,5,7,1122,1122,1122
200,2,10,0,7,8,1100,1100,1100
201,2,12,0,7,8,795,795,795
202,2,12,0,5,7,795,795,795
203,2,15,0,8,9,1040,1040,1040
204,2,1,0,5,7,925,925,925
205,2,4,0,5,7,1122,1122,1122
206,2,10,0,7,8,1100,1100,1100
207,2,12,0,7,8,795,795,795
208,2,12,0,5,7,795,795,795
209,2,15,0,8,9,1040,1040,1040
